,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,head_pitch_joint,head_yaw_joint,head_roll_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07283752635628206,0.08321632749004487,0.6148054032703592,1.392445846067697,0.1982528790376154,-0.1794959055052953,-0.16023831709274533,0.012557206808907177,0.05802652619982518,-1.3871848297679232,1.3483866530916289,-0.9827543979207398,-0.20685757967059235,0.19893437539153647
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07104622576029598,0.07911644940156629,0.6587074627206203,1.3851663669955632,0.22847020460371334,-0.17355627744522173,-0.17361467539799608,0.01678049677257495,0.05804176064843495,-1.350405801879867,1.3468704163643481,-0.9377653269106927,-0.20291490787247538,0.19220226531620532
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06903653093063358,0.07302412664416774,0.7194962080255761,1.374850789573507,0.2723739830486683,-0.16737112188969472,-0.182237646052152,0.022887482308155228,0.05860975826291962,-1.2982103428329534,1.3437757177917034,-0.877940717169203,-0.19731081458082514,0.18627428242068061
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06674989229170546,0.06591387428642566,0.7834670619369442,1.3641146057263762,0.3162705067246021,-0.16194503954527842,-0.1901393912104569,0.028143636606971906,0.05862046082623607,-1.2540267814009927,1.3402793706149672,-0.8253234726686683,-0.19160560410236288,0.18197147885697354
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06421395234765831,0.059140459692140886,0.8463282871758081,1.3531886210844615,0.3597437144998634,-0.1576610003997185,-0.19817236245052755,0.032605681933489346,0.05826965540541971,-1.2219238482922083,1.3362181121430499,-0.7773122860901426,-0.18645731144326952,0.1792193627555528
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061602123587800345,0.05314623982823735,0.9031837381146222,1.3437315709406286,0.39744053209527364,-0.15495575540698073,-0.20523777967781656,0.03601103195344257,0.057049092193976914,-1.1995618407537998,1.3320157927770295,-0.7375187295352411,-0.18222166921576197,0.17803660075443498
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059021260331722475,0.04775435313803969,0.952466829764565,1.3359390140921257,0.42618685157397074,-0.15334382373991887,-0.2104784380004926,0.038531775240091694,0.05486666330527094,-1.18500565569184,1.3279996237009193,-0.6996830432842609,-0.17874018905495076,0.17757940812096573
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05655344451041155,0.04408420122950564,0.9945743094867153,1.329552948415697,0.4479885444116251,-0.1524245392365652,-0.21499517509505817,0.040329551051319544,0.0508163477706863,-1.176413589682518,1.3246034408047176,-0.6655453383687161,-0.17607951862464716,0.1784848321652271
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05433880578029897,0.040851376752805924,1.0361761851777114,1.323989843291007,0.4609912094267402,-0.15341061536831124,-0.21903495164963074,0.04154812378578155,0.04536172593324859,-1.1727616800649026,1.3210780096645571,-0.6323021897514443,-0.17402799373027433,0.18033550781927898
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05196164141448675,0.03834043346928686,1.0716878714538158,1.3196759318700362,0.48124395310224505,-0.15360626638246225,-0.22362827825197903,0.04236957670963128,0.03898056325474816,-1.1734645570336932,1.317046464045042,-0.6019070086649245,-0.1723232749548847,0.18344454363615087
